Region,Country,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost,Total Profit,Order year,Order Month,Order Weekday,Order_Ship_Days
Sub-Saharan Africa,Republic of the Congo,Fruits,Online,L,1950,9.33,6.92,4699.5,2012,4,sun,5 days
Australia and Oceania,East Timor,Snacks,Offline,C,1574,152.58,97.44,86790.36,2013,5,fri,35 days
Europe,Estonia,Meat,Offline,H,1452,421.89,364.69,83054.4,2014,8,sat,46 days
Asia,Bangladesh,Snacks,Online,H,3465,152.58,97.44,191060.1,2013,7,tue,42 days
Sub-Saharan Africa,Senegal,Fruits,Offline,H,1523,9.33,6.92,3670.43,2016,7,fri,44 days
Middle East and North Africa,Pakistan,Fruits,Offline,L,6569,9.33,6.92,15831.29,2011,9,mon,7 days
Europe,Czech Republic,Beverages,Online,H,1578,47.45,31.79,24711.48,2011,4,sun,1 days
Sub-Saharan Africa,Ghana,Meat,Offline,C,6552,421.89,364.69,374774.4,2017,2,wed,37 days
Asia,Japan,Cosmetics,Offline,H,3530,437.2,263.33,613761.1,2016,11,sat,33 days
Asia,Kazakhstan,Baby Food,Offline,H,1578,255.28,159.42,151267.08,2010,10,fri,50 days
Central America and the Caribbean,The Bahamas,Snacks,Offline,H,1794,152.58,97.44,98921.16,2015,3,sat,12 days
Sub-Saharan Africa,Ethiopia,Household,Online,M,2309,668.27,502.54,382670.57,2013,6,mon,30 days
Sub-Saharan Africa,Burkina Faso,Cosmetics,Offline,L,3284,437.2,263.33,570989.08,2012,10,wed,29 days
Sub-Saharan Africa,Madagascar,Fruits,Offline,M,1910,9.33,6.92,4603.1,2017,7,fri,22 days
Europe,Netherlands,Office Supplies,Online,M,7413,651.21,524.96,935891.25,2010,6,mon,35 days
Europe,Greece,Vegetables,Online,L,6046,154.06,90.93,381683.98,2017,2,thur,32 days
Middle East and North Africa,Egypt,Meat,Online,C,6096,421.89,364.69,348691.2,2011,1,thur,42 days
Sub-Saharan Africa,South Sudan,Fruits,Online,M,2880,9.33,6.92,6940.8,2016,1,fri,30 days
Europe,Kosovo,Baby Food,Online,L,3747,255.28,159.42,359187.42,2011,7,sun,26 days
Asia,Brunei,Beverages,Online,L,3077,47.45,31.79,48185.82,2012,3,thur,49 days
Australia and Oceania,Australia,Vegetables,Online,C,7281,154.06,90.93,459649.53,2010,12,tue,28 days
Sub-Saharan Africa,Cape Verde,Fruits,Offline,H,9800,9.33,6.92,23618.0,2013,3,fri,32 days
Sub-Saharan Africa,Malawi,Household,Offline,H,6110,668.27,502.54,1012610.3,2010,2,tue,46 days
Asia,Philippines,Personal Care,Online,L,8714,81.73,56.67,218372.84,2013,2,mon,39 days
Europe,Estonia,Beverages,Online,L,2149,47.45,31.79,33653.34,2011,10,thur,45 days
Central America and the Caribbean,Trinidad and Tobago,Office Supplies,Offline,L,7982,651.21,524.96,1007727.5,2015,10,sun,37 days
Asia,Mongolia,Household,Online,C,9812,668.27,502.54,1626142.76,2013,2,mon,0 days
Asia,Japan,Personal Care,Offline,M,8269,81.73,56.67,207221.14,2011,8,wed,9 days
Sub-Saharan Africa,Niger,Meat,Online,C,6014,421.89,364.69,344000.8,2012,12,mon,1 days
Middle East and North Africa,Egypt,Baby Food,Offline,M,2739,255.28,159.42,262560.54,2015,9,mon,1 days
Central America and the Caribbean,Saint Lucia,Vegetables,Online,C,168,154.06,90.93,10605.84,2012,3,wed,49 days
Middle East and North Africa,Qatar,Cereal,Offline,C,7055,205.7,117.11,625002.45,2014,8,mon,19 days
Sub-Saharan Africa,Mali,Fruits,Offline,H,4188,9.33,6.92,10093.08,2013,7,tue,4 days
Central America and the Caribbean,Saint Lucia,Cosmetics,Online,L,9383,437.2,263.33,1631422.21,2012,1,wed,33 days
Sub-Saharan Africa,Swaziland,Clothes,Offline,M,2488,109.28,35.84,182718.72,2014,3,sun,47 days
Asia,Mongolia,Fruits,Online,M,385,9.33,6.92,927.85,2013,9,wed,26 days
Sub-Saharan Africa,Botswana,Office Supplies,Online,C,1983,651.21,524.96,250353.75,2013,1,fri,13 days
Europe,San Marino,Cosmetics,Online,H,3226,437.2,263.33,560904.62,2011,10,thur,41 days
Middle East and North Africa,Oman,Fruits,Online,C,2087,9.33,6.92,5029.67,2010,11,sat,4 days
Asia,Bangladesh,Office Supplies,Offline,C,3570,651.21,524.96,450712.5,2015,10,tue,37 days
Sub-Saharan Africa,Namibia,Cosmetics,Offline,C,4713,437.2,263.33,819449.31,2010,7,wed,34 days
Asia,Mongolia,Fruits,Online,M,9582,9.33,6.92,23092.62,2014,3,sat,32 days
Asia,North Korea,Beverages,Online,C,4276,47.45,31.79,66962.16,2016,9,tue,28 days
Europe,Latvia,Clothes,Online,M,1925,109.28,35.84,141372.0,2012,9,wed,9 days
Sub-Saharan Africa,Burundi,Snacks,Offline,M,7689,152.58,97.44,423971.46,2013,2,thur,25 days
Sub-Saharan Africa,Seychelles ,Personal Care,Online,C,3762,81.73,56.67,94275.72,2011,1,sun,13 days
Sub-Saharan Africa,Kenya,Cereal,Online,H,4368,205.7,117.11,386961.12,2015,10,sat,26 days
Sub-Saharan Africa,Benin,Office Supplies,Online,C,760,651.21,524.96,95950.0,2011,2,sun,2 days
Central America and the Caribbean,Saint Lucia,Personal Care,Online,C,6225,81.73,56.67,155998.5,2012,4,sat,45 days
Middle East and North Africa,Qatar,Meat,Online,H,1080,421.89,364.69,61776.0,2016,8,mon,45 days
Sub-Saharan Africa,Mozambique,Beverages,Online,C,7675,47.45,31.79,120190.5,2014,12,fri,6 days
Middle East and North Africa,Pakistan,Clothes,Offline,M,5388,109.28,35.84,395694.72,2010,6,sun,23 days
Asia,Taiwan,Personal Care,Online,M,5631,81.73,56.67,141112.86,2015,2,thur,0 days
Central America and the Caribbean,Cuba,Cereal,Offline,L,6847,205.7,117.11,606575.73,2015,3,sun,32 days
Central America and the Caribbean,Cuba,Household,Offline,H,9509,668.27,502.54,1575926.57,2013,7,sat,27 days
Europe,Russia,Beverages,Offline,C,1122,47.45,31.79,17570.52,2010,1,tue,30 days
Europe,Switzerland,Cereal,Offline,C,1222,205.7,117.11,108256.98,2013,2,tue,50 days
Europe,Czech Republic,Personal Care,Offline,H,6377,81.73,56.67,159807.62,2013,8,sat,35 days
Europe,Poland,Meat,Offline,C,5185,421.89,364.69,296582.0,2010,11,mon,45 days
Sub-Saharan Africa,Mauritius ,Cereal,Offline,L,3275,205.7,117.11,290132.25,2016,8,mon,30 days
Middle East and North Africa,Pakistan,Vegetables,Offline,M,8310,154.06,90.93,524610.3,2013,4,wed,0 days
Sub-Saharan Africa,South Africa,Fruits,Offline,L,4981,9.33,6.92,12004.21,2011,3,tue,9 days
Sub-Saharan Africa,Seychelles ,Household,Online,C,13,668.27,502.54,2154.49,2013,9,fri,18 days
Sub-Saharan Africa,Benin,Meat,Offline,M,7159,421.89,364.69,409494.8,2014,5,sun,31 days
Sub-Saharan Africa,Benin,Meat,Offline,L,2207,421.89,364.69,126240.4,2014,11,thur,11 days
Central America and the Caribbean,Nicaragua,Fruits,Online,M,7973,9.33,6.92,19214.93,2014,8,fri,14 days
Middle East and North Africa,Lebanon,Office Supplies,Online,L,9306,651.21,524.96,1174882.5,2013,11,tue,5 days
Europe,Moldova ,Meat,Online,M,8086,421.89,364.69,462519.2,2010,2,mon,41 days
Middle East and North Africa,Tunisia ,Snacks,Online,H,8225,152.58,97.44,453526.5,2017,3,sun,40 days
Australia and Oceania,Vanuatu,Beverages,Offline,M,664,47.45,31.79,10398.24,2015,11,sat,6 days
Sub-Saharan Africa,South Sudan,Beverages,Online,C,8377,47.45,31.79,131183.82,2010,8,sun,14 days
Europe,Sweden,Cereal,Online,L,1370,205.7,117.11,121368.3,2010,11,thur,18 days
Europe,Ireland,Meat,Offline,C,1677,421.89,364.69,95924.4,2011,12,tue,43 days
Europe,Italy,Vegetables,Offline,L,8367,154.06,90.93,528208.71,2014,1,thur,46 days
Europe,Bosnia and Herzegovina,Vegetables,Online,C,2539,154.06,90.93,160287.07,2010,10,sat,0 days
Europe,Bosnia and Herzegovina,Household,Online,H,2321,668.27,502.54,384659.33,2015,10,wed,20 days
Europe,Poland,Snacks,Offline,M,7876,152.58,97.44,434282.64,2013,7,fri,28 days
Middle East and North Africa,Kuwait,Snacks,Online,H,6396,152.58,97.44,352675.44,2016,1,mon,38 days
Sub-Saharan Africa,Sudan,Cereal,Online,M,7103,205.7,117.11,629254.77,2013,8,fri,25 days
Middle East and North Africa,Saudi Arabia,Vegetables,Online,C,6254,154.06,90.93,394815.02,2016,8,mon,4 days
Sub-Saharan Africa,Swaziland,Baby Food,Offline,M,2134,255.28,159.42,204565.24,2013,9,tue,4 days
Sub-Saharan Africa,Rwanda,Meat,Offline,C,61,421.89,364.69,3489.2,2013,8,tue,42 days
Asia,Cambodia,Cosmetics,Offline,M,7383,437.2,263.33,1283682.21,2010,12,thur,44 days
Sub-Saharan Africa,Central African Republic,Vegetables,Online,C,8480,154.06,90.93,535342.4,2012,9,mon,30 days
Asia,Maldives,Cosmetics,Offline,M,9764,437.2,263.33,1697666.68,2011,10,fri,30 days
Sub-Saharan Africa,Djibouti,Household,Offline,C,4676,668.27,502.54,774953.48,2013,8,sun,14 days
Asia,Tajikistan,Beverages,Online,M,8691,47.45,31.79,136101.06,2017,2,thur,15 days
Asia,Sri Lanka,Baby Food,Online,H,4312,255.28,159.42,413348.32,2010,10,mon,2 days
Europe,Montenegro,Personal Care,Online,M,6077,81.73,56.67,152289.62,2014,7,tue,11 days
Middle East and North Africa,United Arab Emirates,Personal Care,Online,H,5553,81.73,56.67,139158.18,2015,5,wed,14 days
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,C,6338,81.73,56.67,158830.28,2016,5,wed,47 days
Sub-Saharan Africa,Seychelles ,Office Supplies,Offline,C,9063,651.21,524.96,1144203.75,2010,4,tue,32 days
Europe,Iceland,Office Supplies,Online,C,6388,651.21,524.96,806485.0,2013,10,fri,7 days
Sub-Saharan Africa,Nigeria,Vegetables,Offline,C,8005,154.06,90.93,505355.65,2010,7,tue,50 days
Sub-Saharan Africa,Rwanda,Fruits,Online,H,5639,9.33,6.92,13589.99,2015,6,mon,46 days
Europe,Hungary,Snacks,Offline,C,8044,152.58,97.44,443546.16,2010,6,wed,24 days
Europe,Belarus,Baby Food,Online,L,6007,255.28,159.42,575831.02,2016,5,mon,25 days
Sub-Saharan Africa,South Sudan,Cosmetics,Offline,H,7344,437.2,263.33,1276901.28,2013,8,fri,27 days
Europe,Andorra,Vegetables,Online,M,1905,154.06,90.93,120262.65,2013,9,sat,21 days
Asia,Japan,Meat,Offline,M,6569,421.89,364.69,375746.8,2010,7,thur,39 days
Central America and the Caribbean,El Salvador,Meat,Offline,L,248,421.89,364.69,14185.6,2013,12,tue,23 days
Sub-Saharan Africa,Kenya,Office Supplies,Offline,L,8883,651.21,524.96,1121478.75,2016,3,fri,4 days
Europe,Bosnia and Herzegovina,Snacks,Online,M,449,152.58,97.44,24757.86,2010,6,tue,30 days
Europe,Andorra,Personal Care,Online,M,9950,81.73,56.67,249347.0,2017,5,sat,33 days
Sub-Saharan Africa,Cape Verde,Cosmetics,Online,H,4423,437.2,263.33,769027.01,2013,6,tue,7 days
Australia and Oceania,Nauru,Fruits,Online,L,7934,9.33,6.92,19120.94,2010,2,sun,42 days
Europe,Czech Republic,Cereal,Offline,H,6583,205.7,117.11,583187.97,2012,6,thur,31 days
Europe,Serbia,Vegetables,Online,L,3500,154.06,90.93,220955.0,2015,3,sun,13 days
Australia and Oceania,Tuvalu,Cereal,Offline,C,3844,205.7,117.11,340539.96,2014,2,tue,39 days
Sub-Saharan Africa,Madagascar,Clothes,Offline,H,9810,109.28,35.84,720446.4,2017,5,sun,44 days
Sub-Saharan Africa,Ethiopia,Vegetables,Online,C,5620,154.06,90.93,354790.6,2011,8,fri,31 days
Asia,Malaysia,Baby Food,Offline,L,2530,255.28,159.42,242525.8,2010,11,sat,40 days
Sub-Saharan Africa,Tanzania,Household,Offline,C,3825,668.27,502.54,633917.25,2015,4,sat,22 days
Sub-Saharan Africa,Cote d'Ivoire,Vegetables,Offline,M,9823,154.06,90.93,620125.99,2014,7,mon,20 days
Australia and Oceania,Solomon Islands,Clothes,Offline,M,2873,109.28,35.84,210993.12,2014,8,fri,38 days
Europe,Netherlands,Clothes,Online,H,2354,109.28,35.84,172877.76,2011,3,sat,18 days
Sub-Saharan Africa,Mali,Baby Food,Offline,M,9677,255.28,159.42,927637.22,2016,3,tue,17 days
Middle East and North Africa,Afghanistan,Cereal,Offline,C,3286,205.7,117.11,291106.74,2015,12,fri,28 days
Europe,Moldova ,Personal Care,Online,C,3653,81.73,56.67,91544.18,2013,3,wed,10 days
Asia,Bhutan,Snacks,Online,H,8283,152.58,97.44,456724.62,2015,6,fri,7 days
Asia,Vietnam,Vegetables,Offline,M,6714,154.06,90.93,423854.82,2016,2,wed,31 days
Europe,Portugal,Vegetables,Online,H,5511,154.06,90.93,347909.43,2013,6,thur,26 days
Europe,Spain,Baby Food,Online,M,3273,255.28,159.42,313749.78,2014,5,fri,4 days
Middle East and North Africa,Egypt,Meat,Offline,C,5632,421.89,364.69,322150.4,2015,6,tue,16 days
Europe,Belgium,Snacks,Online,C,246,152.58,97.44,13564.44,2014,6,tue,21 days
Asia,Malaysia,Cosmetics,Offline,H,1810,437.2,263.33,314704.7,2013,11,sat,21 days
Central America and the Caribbean,Dominican Republic,Cosmetics,Offline,C,7047,437.2,263.33,1225261.89,2017,4,sat,30 days
Europe,Estonia,Beverages,Offline,H,9711,47.45,31.79,152074.26,2010,5,thur,50 days
Sub-Saharan Africa,Burundi,Snacks,Offline,C,5588,152.58,97.44,308122.32,2010,5,fri,46 days
Europe,Latvia,Beverages,Online,M,7497,47.45,31.79,117403.02,2016,6,wed,22 days
Asia,Tajikistan,Meat,Offline,M,285,421.89,364.69,16302.0,2013,8,wed,44 days
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,H,5833,9.33,6.92,14057.53,2014,10,sat,18 days
Sub-Saharan Africa,Comoros,Meat,Offline,L,8052,421.89,364.69,460574.4,2010,10,sat,13 days
Sub-Saharan Africa,Namibia,Clothes,Online,L,7884,109.28,35.84,579000.96,2012,11,mon,35 days
Europe,Slovenia,Cereal,Offline,H,8302,205.7,117.11,735474.18,2010,5,fri,4 days
Europe,Bulgaria,Snacks,Offline,L,9312,152.58,97.44,513463.68,2012,8,thur,29 days
Sub-Saharan Africa,Guinea-Bissau,Cereal,Online,L,2950,205.7,117.11,261340.5,2015,1,thur,30 days
Sub-Saharan Africa,Lesotho,Beverages,Offline,L,8282,47.45,31.79,129696.12,2010,3,mon,19 days
Asia,Sri Lanka,Cosmetics,Offline,L,6409,437.2,263.33,1114332.83,2014,5,thur,18 days
Australia and Oceania,East Timor,Snacks,Online,H,5459,152.58,97.44,301009.26,2010,12,mon,39 days
Europe,Belarus,Household,Online,M,5594,668.27,502.54,927093.62,2014,10,sat,5 days
Sub-Saharan Africa,Benin,Meat,Offline,H,4006,421.89,364.69,229143.2,2015,1,tue,32 days
Europe,Ireland,Beverages,Offline,L,9919,47.45,31.79,155331.54,2017,4,mon,44 days
Middle East and North Africa,Iran,Meat,Offline,H,9587,421.89,364.69,548376.4,2016,8,thur,6 days
Sub-Saharan Africa,Benin,Household,Offline,C,1297,668.27,502.54,214951.81,2016,11,fri,47 days
Sub-Saharan Africa,South Sudan,Beverages,Online,L,366,47.45,31.79,5731.56,2011,9,thur,31 days
Sub-Saharan Africa,Comoros,Personal Care,Online,L,4144,81.73,56.67,103848.64,2010,10,sat,40 days
Europe,Poland,Baby Food,Online,H,7008,255.28,159.42,671786.88,2013,8,tue,39 days
Europe,Bosnia and Herzegovina,Cosmetics,Offline,C,5372,437.2,263.33,934029.64,2013,2,sun,11 days
Sub-Saharan Africa,Namibia,Vegetables,Offline,C,2677,154.06,90.93,168999.01,2014,8,sun,24 days
Europe,Spain,Office Supplies,Offline,C,4396,651.21,524.96,554995.0,2017,1,wed,12 days
Middle East and North Africa,Iran,Meat,Online,C,3036,421.89,364.69,173659.2,2016,7,sat,45 days
Central America and the Caribbean,Guatemala,Office Supplies,Offline,C,3131,651.21,524.96,395288.75,2010,3,fri,6 days
Australia and Oceania,East Timor,Beverages,Online,C,6249,47.45,31.79,97859.34,2015,6,thur,20 days
Middle East and North Africa,Bahrain,Household,Online,H,5990,668.27,502.54,992722.7,2012,6,tue,20 days
Sub-Saharan Africa,Ethiopia,Office Supplies,Online,L,2982,651.21,524.96,376477.5,2016,12,sun,32 days
Australia and Oceania,Solomon Islands,Personal Care,Offline,M,9886,81.73,56.67,247743.16,2015,3,sun,42 days
Central America and the Caribbean,Belize,Snacks,Online,C,6397,152.58,97.44,352730.58,2013,6,mon,25 days
Asia,Sri Lanka,Office Supplies,Online,C,4236,651.21,524.96,534795.0,2011,8,thur,22 days
Central America and the Caribbean,Costa Rica,Clothes,Offline,H,2158,109.28,35.84,158483.52,2014,4,wed,7 days
Sub-Saharan Africa,Nigeria,Baby Food,Online,L,951,255.28,159.42,91162.86,2012,2,thur,24 days
Middle East and North Africa,Iran,Office Supplies,Online,L,8431,651.21,524.96,1064413.75,2015,8,fri,49 days
Sub-Saharan Africa,Djibouti,Baby Food,Online,C,4447,255.28,159.42,426289.42,2013,9,tue,24 days
Asia,South Korea,Snacks,Online,L,5879,152.58,97.44,324168.06,2015,5,thur,30 days
Central America and the Caribbean,Dominica,Snacks,Offline,L,1637,152.58,97.44,90264.18,2015,5,thur,10 days
Asia,Vietnam,Snacks,Online,L,7665,152.58,97.44,422648.1,2013,7,tue,47 days
Europe,Norway,Personal Care,Offline,H,1936,81.73,56.67,48516.16,2010,6,tue,35 days
Central America and the Caribbean,Haiti,Beverages,Online,C,9455,47.45,31.79,148065.3,2011,11,mon,6 days
Central America and the Caribbean,Jamaica,Fruits,Offline,L,7258,9.33,6.92,17491.78,2016,10,sun,10 days
Sub-Saharan Africa,Sudan,Vegetables,Offline,M,9412,154.06,90.93,594179.56,2014,2,sat,29 days
Sub-Saharan Africa,Angola,Meat,Offline,L,2016,421.89,364.69,115315.2,2016,4,fri,12 days
Central America and the Caribbean,Panama,Cosmetics,Offline,M,8200,437.2,263.33,1425734.0,2010,8,mon,46 days
Europe,Greece,Personal Care,Online,M,3124,81.73,56.67,78287.44,2015,8,fri,30 days
Sub-Saharan Africa,Madagascar,Cereal,Offline,H,8983,205.7,117.11,795803.97,2016,8,wed,1 days
Sub-Saharan Africa,Guinea-Bissau,Clothes,Online,L,9998,109.28,35.84,734253.12,2015,6,wed,13 days
North America,Greenland,Clothes,Online,L,7425,109.28,35.84,545292.0,2011,1,thur,4 days
Middle East and North Africa,Libya,Beverages,Offline,H,4550,47.45,31.79,71253.0,2011,2,thur,28 days
Europe,Belarus,Vegetables,Offline,C,1691,154.06,90.93,106752.83,2012,11,fri,24 days
Middle East and North Africa,Lebanon,Clothes,Offline,H,1196,109.28,35.84,87834.24,2014,9,wed,48 days
Sub-Saharan Africa,Djibouti,Baby Food,Offline,H,2444,255.28,159.42,234281.84,2012,5,wed,42 days
Central America and the Caribbean,Barbados,Personal Care,Online,C,6848,81.73,56.67,171610.88,2010,2,fri,12 days
Sub-Saharan Africa,Guinea-Bissau,Vegetables,Online,L,2849,154.06,90.93,179857.37,2017,2,mon,2 days
Europe,Finland,Personal Care,Offline,C,921,81.73,56.67,23080.26,2013,5,thur,21 days
Central America and the Caribbean,Haiti,Baby Food,Offline,L,8569,255.28,159.42,821424.34,2013,11,fri,14 days
Sub-Saharan Africa,Niger,Clothes,Offline,M,5330,109.28,35.84,391435.2,2012,1,mon,40 days
Central America and the Caribbean,Trinidad and Tobago,Fruits,Offline,L,7769,9.33,6.92,18723.29,2013,9,mon,46 days
Central America and the Caribbean,Grenada,Personal Care,Online,M,4487,81.73,56.67,112444.22,2010,9,sat,43 days
Central America and the Caribbean,Dominican Republic,Cereal,Offline,H,1113,205.7,117.11,98600.67,2014,10,mon,30 days
Europe,Monaco,Household,Offline,C,5308,668.27,502.54,879694.84,2016,1,sat,19 days
Europe,Estonia,Vegetables,Online,L,1764,154.06,90.93,111361.32,2016,12,mon,11 days
Europe,Italy,Beverages,Offline,H,7206,47.45,31.79,112845.96,2013,8,thur,20 days
Asia,Malaysia,Office Supplies,Online,C,5387,651.21,524.96,680108.75,2014,7,sun,48 days
Sub-Saharan Africa,Ghana,Office Supplies,Offline,L,2095,651.21,524.96,264493.75,2013,11,thur,8 days
Middle East and North Africa,Pakistan,Clothes,Offline,C,146,109.28,35.84,10722.24,2011,1,fri,7 days
Asia,Sri Lanka,Snacks,Offline,L,4390,152.58,97.44,242064.6,2013,11,tue,10 days
Europe,Romania,Fruits,Offline,C,6705,9.33,6.92,16159.05,2012,4,sun,24 days
Middle East and North Africa,Qatar,Office Supplies,Online,H,1004,651.21,524.96,126755.0,2012,6,wed,15 days
Sub-Saharan Africa,Cote d'Ivoire,Clothes,Online,H,8228,109.28,35.84,604264.32,2010,6,mon,41 days
Middle East and North Africa,Egypt,Office Supplies,Online,M,1352,651.21,524.96,170690.0,2010,8,sun,22 days
Middle East and North Africa,Iran,Snacks,Offline,H,379,152.58,97.44,20898.06,2014,12,wed,17 days
Middle East and North Africa,Somalia,Clothes,Online,C,7347,109.28,35.84,539563.68,2011,1,wed,47 days
Middle East and North Africa,Syria,Personal Care,Offline,C,1322,81.73,56.67,33129.32,2014,5,tue,21 days
Australia and Oceania,Solomon Islands,Cereal,Offline,C,3404,205.7,117.11,301560.36,2010,11,sun,13 days
Central America and the Caribbean,Guatemala,Fruits,Online,M,1721,9.33,6.92,4147.61,2014,3,sat,35 days
Middle East and North Africa,Kuwait,Clothes,Offline,C,6436,109.28,35.84,472659.84,2016,7,fri,11 days
Middle East and North Africa,Jordan,Meat,Online,L,4741,421.89,364.69,271185.2,2014,7,mon,4 days
Australia and Oceania,Marshall Islands,Beverages,Offline,H,5859,47.45,31.79,91751.94,2013,10,sun,41 days
Middle East and North Africa,Egypt,Snacks,Offline,C,6045,152.58,97.44,333321.3,2017,1,thur,36 days
Europe,Switzerland,Meat,Online,C,3585,421.89,364.69,205062.0,2012,12,fri,16 days
Australia and Oceania,Samoa ,Personal Care,Online,C,3797,81.73,56.67,95152.82,2010,4,thur,49 days
Europe,Portugal,Cosmetics,Offline,C,4029,437.2,263.33,700522.23,2011,2,sat,13 days
Europe,Albania,Clothes,Offline,C,8661,109.28,35.84,636063.84,2015,1,tue,26 days
Central America and the Caribbean,Dominica,Vegetables,Offline,C,4105,154.06,90.93,259148.65,2014,11,sat,20 days
Australia and Oceania,Tuvalu,Cosmetics,Online,H,3803,437.2,263.33,661227.61,2016,1,sat,12 days
Australia and Oceania,Marshall Islands,Cereal,Online,L,3227,205.7,117.11,285879.93,2017,5,sun,38 days
Europe,Bulgaria,Fruits,Online,H,4884,9.33,6.92,11770.44,2015,2,mon,15 days
Sub-Saharan Africa,Niger,Office Supplies,Offline,M,3309,651.21,524.96,417761.25,2013,12,sat,30 days
Central America and the Caribbean,Saint Vincent and the Grenadines,Office Supplies,Offline,H,70,651.21,524.96,8837.5,2015,12,wed,3 days
Sub-Saharan Africa,Malawi,Beverages,Offline,L,8766,47.45,31.79,137275.56,2016,9,sat,22 days
Sub-Saharan Africa,Cape Verde,Personal Care,Offline,L,25,81.73,56.67,626.5,2016,7,mon,10 days
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Offline,C,6510,47.45,31.79,101946.6,2017,1,sun,4 days
Europe,Greece,Personal Care,Offline,H,7913,81.73,56.67,198299.78,2016,11,fri,30 days
Europe,Monaco,Clothes,Online,L,5957,109.28,35.84,437482.08,2015,10,fri,26 days
Sub-Saharan Africa,Nigeria,Beverages,Online,L,9397,47.45,31.79,147157.02,2011,1,mon,19 days
Europe,Norway,Cosmetics,Offline,C,9020,437.2,263.33,1568307.4,2015,11,sat,0 days
North America,Greenland,Snacks,Offline,L,2643,152.58,97.44,145735.02,2010,6,wed,49 days
Middle East and North Africa,Tunisia ,Beverages,Online,L,114,47.45,31.79,1785.24,2014,2,wed,4 days
Asia,Uzbekistan,Meat,Offline,H,8313,421.89,364.69,475503.6,2013,2,mon,50 days
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,Online,H,6152,154.06,90.93,388375.76,2017,4,fri,26 days
Central America and the Caribbean,Belize,Meat,Online,L,9572,421.89,364.69,547518.4,2011,4,fri,17 days
Sub-Saharan Africa,Angola,Personal Care,Online,H,6548,81.73,56.67,164092.88,2010,12,sun,17 days
Asia,Bhutan,Meat,Online,C,2085,421.89,364.69,119262.0,2014,5,mon,9 days
Central America and the Caribbean,Honduras,Personal Care,Offline,L,3217,81.73,56.67,80618.02,2013,1,tue,40 days
Sub-Saharan Africa,South Sudan,Household,Offline,H,4014,668.27,502.54,665240.22,2010,12,wed,45 days
Asia,Kyrgyzstan,Baby Food,Online,L,573,255.28,159.42,54927.78,2013,1,wed,21 days
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,Offline,M,6025,437.2,263.33,1047566.75,2014,2,mon,6 days
Sub-Saharan Africa,Madagascar,Fruits,Online,M,5530,9.33,6.92,13327.3,2017,7,sat,50 days
Sub-Saharan Africa,Senegal,Household,Online,H,1280,668.27,502.54,212134.4,2016,5,fri,38 days
Sub-Saharan Africa,Sierra Leone,Office Supplies,Online,C,7501,651.21,524.96,947001.25,2012,3,fri,25 days
Asia,Malaysia,Household,Offline,H,5446,668.27,502.54,902565.58,2011,10,sun,49 days
Central America and the Caribbean,Cuba,Office Supplies,Online,C,8401,651.21,524.96,1060626.25,2014,12,sun,11 days
Sub-Saharan Africa,Zimbabwe,Personal Care,Offline,L,6684,81.73,56.67,167501.04,2011,8,mon,5 days
Europe,Serbia,Beverages,Online,H,2644,47.45,31.79,41405.04,2015,4,fri,35 days
Asia,Maldives,Vegetables,Offline,M,5660,154.06,90.93,357315.8,2014,1,fri,43 days
Europe,Ireland,Office Supplies,Offline,M,7144,651.21,524.96,901930.0,2012,2,sun,35 days
Europe,Romania,Clothes,Offline,L,5537,109.28,35.84,406637.28,2011,4,sun,4 days
Europe,Croatia,Beverages,Online,M,1315,47.45,31.79,20592.9,2013,12,wed,11 days
Europe,Albania,Vegetables,Offline,M,1980,154.06,90.93,124997.4,2012,9,tue,49 days
Central America and the Caribbean,Dominican Republic,Vegetables,Offline,L,7071,154.06,90.93,446392.23,2015,12,fri,27 days
Sub-Saharan Africa,Zimbabwe,Vegetables,Online,M,3153,154.06,90.93,199048.89,2014,6,wed,44 days
Sub-Saharan Africa,Ghana,Office Supplies,Offline,L,8826,651.21,524.96,1114282.5,2015,3,sun,9 days
Asia,Laos,Beverages,Online,H,9719,47.45,31.79,152199.54,2014,8,sat,22 days
Central America and the Caribbean,Panama,Personal Care,Offline,M,3494,81.73,56.67,87559.64,2010,7,sun,46 days
Sub-Saharan Africa,Angola,Household,Online,L,4843,668.27,502.54,802630.39,2013,1,sun,30 days
Middle East and North Africa,Syria,Snacks,Offline,L,490,152.58,97.44,27018.6,2010,7,sun,38 days
Sub-Saharan Africa,Sierra Leone,Cosmetics,Offline,H,4189,437.2,263.33,728341.43,2011,7,sun,23 days
Sub-Saharan Africa,Uganda,Fruits,Online,L,1727,9.33,6.92,4162.07,2010,5,mon,50 days
Asia,Taiwan,Clothes,Offline,M,5921,109.28,35.84,434838.24,2013,10,sat,21 days
Middle East and North Africa,Azerbaijan,Vegetables,Online,C,1619,154.06,90.93,102207.47,2014,7,sat,5 days
Asia,Maldives,Office Supplies,Online,H,702,651.21,524.96,88627.5,2010,4,sat,7 days
Sub-Saharan Africa,Mauritania,Meat,Offline,H,7081,421.89,364.69,405033.2,2014,8,sat,45 days
